,name,certificate,overall_rating,enrolls,link,price,image,image_mobile,description,author,platform
107,"""Another"" 20 Life Hacks to Inspire You to Excel in Life",True,0,0,/course/another-20-free-life-hacks-to-inspire-you-to-excel-in-business-andlife/,₹799,https://img-c.udemycdn.com/course/240x135/2103948_a1f8_8.jpg,https://img-c.udemycdn.com/course/125_H/2103948_a1f8_8.jpg,Another 20 Videos to Inspire You to Live Your Life on Your Terms,Chris Haroun,Udemy
89,10 FREE Blogging Tools That Will Make You a Better Blogger,True,0,0,/course/10-free-blogging-tools/,Free,https://img-c.udemycdn.com/course/240x135/1333640_cba0.jpg,https://img-c.udemycdn.com/course/125_H/1333640_cba0.jpg,Discover 10 blogging tools for increasing your blogging and writing productivity. The ultimate blogging tools course!,Tyler Speegle,Udemy
9,100 Days of Code: The Complete Python Pro Bootcamp for 2022,True,0,0,/course/100-days-of-code/,"₹3,499",https://s.udemycdn.com/premium-clp/2776760/CourseImage-240x135.jpg,https://img-c.udemycdn.com/course/125_H/2776760_f176_10.jpg,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",Dr. Angela Yu,Udemy
0,2022 Complete Python Bootcamp From Zero to Hero in Python,True,0,0,/course/complete-python-bootcamp/,"₹3,499",https://s.udemycdn.com/premium-clp/567828/CourseImage-240x135.jpg,https://img-c.udemycdn.com/course/125_H/567828_67d0.jpg,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,Jose Portilla,Udemy
17,7 Scientifically Proven Steps to Increase Your Influence,True,0,0,/course/7-scientifically-proven-steps-to-increase-your-influence/,Free,https://img-c.udemycdn.com/course/240x135/192004_bf26_5.jpg,https://img-c.udemycdn.com/course/125_H/192004_bf26_5.jpg,"Learn the science of charisma. Increase your impact, influence and income using 7 science based steps.",Vanessa Van Edwards,Udemy
86,A Crash Course in Understanding Quaternions,True,0,0,/course/quaternions/,Free,https://img-c.udemycdn.com/course/240x135/4234802_6b83_2.jpg,https://img-c.udemycdn.com/course/125_H/4234802_6b83_2.jpg,Learn how you can understand and implement quaternion rotations in your game projects,Penny de Byl,Udemy
15,A Mini Course on Time Management,True,0,0,/course/manageyourtime/,Free,https://img-c.udemycdn.com/course/240x135/797156_d7dd_5.jpg,https://img-c.udemycdn.com/course/125_H/797156_d7dd_5.jpg,7 steps you can use immediately to become more productive and master time management,Brandon Hakim,Udemy
65,Advanced Databases and SQL Querying,True,0,0,/course/advanced-tsql-querying-using-sql-2014/,Free,https://img-c.udemycdn.com/course/240x135/584648_1cad_3.jpg,https://img-c.udemycdn.com/course/125_H/584648_1cad_3.jpg,Learn advanced T-SQL Querying concepts. Go from a beginner SQL programmer to writing complex SQL Queries.,Rakesh Gopalakrishnan,Udemy
30,Agile PM 101 - Learn the Truth About Agile versus Waterfall,True,0,0,/course/learn-the-truth-about-agile-versus-waterfall/,Free,https://img-b.udemycdn.com/course/240x135/352440_01ad_6.jpg,https://img-b.udemycdn.com/course/125_H/352440_01ad_6.jpg,"Learn to See Agile and Waterfall in a Fresh, New Perspective as Complementary Rather Than Competitive",Agile Project Management Academy - Chuck Cobb,Udemy
32,Amazon Web Services (AWS) - Zero to Hero,True,0,0,/course/amazon-web-services-aws-v/,Free,https://img-b.udemycdn.com/course/240x135/1331946_ed41_4.jpg,https://img-b.udemycdn.com/course/125_H/1331946_ed41_4.jpg,"Beginners, Zero to Hero. AWS EC2 web server, NodeJS Server, AWS RDS database server, S3, SES & CloudWatch. FREE",BackSpace Academy,Udemy
19,Art Fundamentals - Building Blocks of Digital Painting,True,0,0,/course/art-fundamentals-in-one-hour/,Free,https://img-c.udemycdn.com/course/240x135/1298438_2631.jpg,https://img-c.udemycdn.com/course/125_H/1298438_2631.jpg,A beginner's guide to the building blocks of digital art,Hardy Fowler,Udemy
84,"Basics of Scrum, Agile and Project Delivery",True,0,0,/course/scrum-methodology/,Free,https://img-c.udemycdn.com/course/240x135/151198_265f_2.jpg,https://img-c.udemycdn.com/course/125_H/151198_265f_2.jpg,The Scrum Body of Knowledge (SBOK™) provides guidelines for the successful implementation of Scrum methodology.,SCRUMstudy Certification,Udemy
26,Become an Android Developer from Scratch,True,0,0,/course/become-an-android-developer-from-scratch/,Free,https://img-b.udemycdn.com/course/240x135/146156_c2cc_4.jpg,https://img-b.udemycdn.com/course/125_H/146156_c2cc_4.jpg,Simply the best place to start learning Android Development.,Adam Lupu,Udemy
70,Best Cities for Real Estate Investing,True,0,0,/course/realfocus/,Free,https://img-c.udemycdn.com/course/240x135/1863190_802c_2.jpg,https://img-c.udemycdn.com/course/125_H/1863190_802c_2.jpg,HANDS ON WORKSHOP: The 90-minute ultimate guide to finding the best cities for profiting in real estate.,Neal Bawa,Udemy
59,Best Practices for Working Remotely,True,0,0,/course/quick-guide-to-working-remotely-from-vp-of-learning/,Free,https://img-c.udemycdn.com/course/240x135/2862896_e27d.jpg,https://img-c.udemycdn.com/course/125_H/2862896_e27d.jpg,"Join Shelley Osborne, VP of Learning, for her best tips to set yourself up for success when working from home.",Shelley Osborne,Udemy
60,Break Vocabulary Barrier: Memorize 100+ Words Everyday!,True,0,0,/course/break-vocabulary-barrier-memorize-100-words-everyday/,Free,https://img-c.udemycdn.com/course/240x135/923920_22a9.jpg,https://img-c.udemycdn.com/course/125_H/923920_22a9.jpg,Complete Guide to Memory Improvement & Significantly Increasing Quality and Quantity of Vocabulary,Revshan Abdurakhmanov,Udemy
64,Build Your First Website in 1 Week with HTML5 and CSS3,True,0,0,/course/build-your-first-website-in-1-week/,Free,https://img-c.udemycdn.com/course/240x135/173548_c3e1_2.jpg,https://img-c.udemycdn.com/course/125_H/173548_c3e1_2.jpg,The Fastest Way to Learn HTML & CSS for the Real World,Ryan Bonhardt,Udemy
44,"Build a Quiz App with HTML, CSS, and JavaScript",True,0,0,/course/build-a-quiz-app-with-html-css-and-javascript/,Free,https://img-c.udemycdn.com/course/240x135/2223252_0708.jpg,https://img-c.udemycdn.com/course/125_H/2223252_0708.jpg,"Improve your core development skills by building a Quiz App with HTML, CSS, and JavaScript",James Quick,Udemy
11,C++ Tutorial for Complete Beginners,True,0,0,/course/free-learn-c-tutorial-beginners/,Free,https://img-c.udemycdn.com/course/240x135/247190_5cb0_2.jpg,https://img-c.udemycdn.com/course/125_H/247190_5cb0_2.jpg,"How to program in the popular (and tricky!) C++ programming language, for complete beginners.",John Purcell,Udemy
103,CBT4PANIC. Overcome Panic & Anxiety attacks fast,True,0,0,/course/cbt4panic-cure-panic-anxiety-attacks-fast/,Free,https://img-c.udemycdn.com/course/240x135/516832_d385.jpg,https://img-c.udemycdn.com/course/125_H/516832_d385.jpg,A complete professional Cognitive Behavioural Therapy (CBT) treatment plan for anxiety and panic disorder.,Robin Hall,Udemy
79,Canva Master Course | Use Canva to Grow your Business,True,0,0,/course/canva-master-course-use-canva-to-grow-your-business/,₹799,https://img-c.udemycdn.com/course/240x135/4522152_8713_4.jpg,https://img-c.udemycdn.com/course/125_H/4522152_8713_4.jpg,"Learn to design Free, Professional Quality Graphic Designs & Videos Quickly with Canva 3.0.",Sawan Kumar,Udemy
33,Code Your First Game: Arcade Classic in JavaScript on Canvas,True,0,0,/course/code-your-first-game/,Free,https://img-b.udemycdn.com/course/240x135/387820_93f0_5.jpg,https://img-b.udemycdn.com/course/125_H/387820_93f0_5.jpg,Program a complete game today. No special software or install required. All you need is a text editor and a web browser.,Chris DeLeon,Udemy
98,Coding Essentials - Logic Building for Beginners,True,0,0,/course/learn-coding-for-beginners/,Free,https://img-c.udemycdn.com/course/240x135/4481530_e919_2.jpg,https://img-c.udemycdn.com/course/125_H/4481530_e919_2.jpg,"Enter the world of programming, learn fundamental building blocks of programming & problem solving for beginners.",Prateek Narang,Udemy
81,Concept Art Portfolio Boost,True,0,0,/course/portfolio-boost/,Free,https://img-c.udemycdn.com/course/240x135/4394964_2c3c_2.jpg,https://img-c.udemycdn.com/course/125_H/4394964_2c3c_2.jpg,Essential practices for digital art portfolios,Hardy Fowler,Udemy
87,Copywriting Quick Start: Top FREE Writing Tools & Hacks,True,0,0,/course/copywritingquickstart/,Free,https://img-c.udemycdn.com/course/240x135/1907732_d6fe_2.jpg,https://img-c.udemycdn.com/course/125_H/1907732_d6fe_2.jpg,Boost your copywriting skills and become a better writer with the internet's best free writing tools and hacks.,Tyler Speegle,Udemy
94,Create a 3D character in Blender from scratch,True,0,0,/course/create-a-3d-character-in-blender/,Free,https://img-c.udemycdn.com/course/240x135/3319164_ebd9.jpg,https://img-c.udemycdn.com/course/125_H/3319164_ebd9.jpg,Step by step guide to model a 3D character and texture it,Raymond Gabriel,Udemy
45,Creating Your First Game in Unreal Engine 5,True,0,0,/course/creating-your-first-game-in-unreal-engine-5/,Free,https://img-c.udemycdn.com/course/240x135/4581130_ec38_2.jpg,https://img-c.udemycdn.com/course/125_H/4581130_ec38_2.jpg,Learn to create your first game in Unreal Engine 5 using Blueprints,UNF Games,Udemy
52,Cyber Security Course for Beginners - Level 01,True,0,0,/course/certified-secure-netizen/,Free,https://img-c.udemycdn.com/course/240x135/1117528_f38f.jpg,https://img-c.udemycdn.com/course/125_H/1117528_f38f.jpg,Learn the Security Fundamentals required for your everyday online presence.,FourthWall Technologies,Udemy
29,Deep Learning Prerequisites: The Numpy Stack in Python V2,True,0,0,/course/numpy-python/,Free,https://img-b.udemycdn.com/course/240x135/3060786_438f_2.jpg,https://img-b.udemycdn.com/course/125_H/3060786_438f_2.jpg,"Numpy, Scipy, Pandas, and Matplotlib: prep for deep learning, machine learning, and artificial intelligence",Lazy Programmer Team,Udemy
38,DevOps - The Introduction Course,True,0,0,/course/learn-devops/,Free,https://img-c.udemycdn.com/course/240x135/1735956_d519.jpg,https://img-c.udemycdn.com/course/125_H/1735956_d519.jpg,The Swiss Army Knife of DevOps and Cloud courses. Introduced basic DevOps concepts to an Absolute Beginner,Mumshad Mannambeth,Udemy
100,Developing app using Flutter - May 2022,True,0,0,/course/developing-app-using-flutter/,Free,https://img-c.udemycdn.com/course/240x135/4609182_3653.jpg,https://img-c.udemycdn.com/course/125_H/4609182_3653.jpg,"Flutter, android app, Weather app, MySQL, Firebase, cloud firestore database, Rest APIs",Proton Expert Systems & Solutions,Udemy
46,Digital Body Language,True,0,0,/course/digital-body-language/,Free,https://img-c.udemycdn.com/course/240x135/910996_89bd_4.jpg,https://img-c.udemycdn.com/course/125_H/910996_89bd_4.jpg,"You will learn what your digital brand says about you through your social media pictures, website and more.",Vanessa Van Edwards,Udemy
50,Discover your Energy Body,True,0,0,/course/discover-your-energy-body/,Free,https://img-c.udemycdn.com/course/240x135/662646_dc7b.jpg,https://img-c.udemycdn.com/course/125_H/662646_dc7b.jpg,"The ChakraSchool Guide to Mastering your Chakras, Revealing the Secret World Within, and Having your Mind Blown.",James Seriph,Udemy
88,Drawing for Beginners: How to Draw 25 Cartoons Step-by-Step,True,0,0,/course/drawing-for-kids-learn-how-to-draw-cartoons-step-by-step/,Free,https://img-c.udemycdn.com/course/240x135/514092_74b0_2.jpg,https://img-c.udemycdn.com/course/125_H/514092_74b0_2.jpg,Cartoon Drawing Lessons: An Inspiring Art Experience for Young Artists. Follow Me as I Teach Beginners How to Draw!,Em Winn,Udemy
25,Energy Protection & Boundaries Practitioner| ACCREDITED,True,0,0,/course/lessons-for-light-workers-healers-counselors-therapists/,Free,https://img-b.udemycdn.com/course/240x135/4290300_c0a4_5.jpg,https://img-b.udemycdn.com/course/125_H/4290300_c0a4_5.jpg,"Learn to set boundaries, protect yourself from energy drains, grounding, engage self-care, balance and energy work Q&A","Sufani Garza, Place of Bliss Academy",Udemy
22,English Launch: Learn English for Free - Upgrade all areas,True,0,0,/course/english-launch-learn-english-for-free-upgrade-all-areas/,Free,https://img-c.udemycdn.com/course/240x135/1137162_0e37.jpg,https://img-c.udemycdn.com/course/125_H/1137162_0e37.jpg,Improve all areas of your English in this taster course. Learn from a native British speaker to become more fluent.,Anthony Kelleher,Udemy
105,"Enhance English Vocabulary, Idioms, Improve Speaking (Free)",True,0,0,/course/enhance-english-vocabulary-idioms-improve-speaking-free/,Free,https://img-c.udemycdn.com/course/240x135/4694082_1ec4_3.jpg,https://img-c.udemycdn.com/course/125_H/4694082_1ec4_3.jpg,"Master English Vocabulary, English Idioms, English Phrases, Practice Speaking English with Funny Dialogues.",Logus Online,Udemy
93,Etsy 2022 SEO Boot Camp: Your First 1100 Sales Blueprint,True,0,0,/course/etsy-seo-boot-camp-your-first-1100-sales-blueprint/,Free,https://img-c.udemycdn.com/course/240x135/3533448_685d.jpg,https://img-c.udemycdn.com/course/125_H/3533448_685d.jpg,A definitive step-by-step Etsy SEO crash course on how I ranked higher in searches and made my first 1100 sales!,Patrick Gamaliel,Udemy
101,Excel Dashboards in an Hour,True,0,0,/course/excel-dashboards-in-an-hour/,Free,https://img-c.udemycdn.com/course/240x135/926630_7e9d_2.jpg,https://img-c.udemycdn.com/course/125_H/926630_7e9d_2.jpg,"Learn how to create interactive Excel Dashboards in one hour. No special add-ins or tools required, just Excel.",Mynda Treacy,Udemy
35,Excel: From beginner to intermediate,True,0,0,/course/excel-2019-beginner-to-microsoft-intermediate/,Free,https://img-b.udemycdn.com/course/240x135/2483442_ae27_6.jpg,https://img-b.udemycdn.com/course/125_H/2483442_ae27_6.jpg,Learn the skills that Microsoft want you to know in Excel.,Phillip Burton,Udemy
49,Extra course : Understanding multiple timeframe for trading,True,0,0,/course/advanced-forex-trading-master-multiple-timeframe-to-trade/,Free,https://img-c.udemycdn.com/course/240x135/4626462_a41f_3.jpg,https://img-c.udemycdn.com/course/125_H/4626462_a41f_3.jpg,"Supporting for my paid course  : Key-Level , Smart Money Concepts , Price Action effectively in Technical Analyzation",Jayce PHAM | Funded Trading Group,Udemy
99,FREE Microsoft Dynamics 365 For Beginners (Updated for 2021),True,0,0,/course/microsoft-dynamics-crm-introduction-course/,Free,https://img-c.udemycdn.com/course/240x135/680886_5a75_9.jpg,https://img-c.udemycdn.com/course/125_H/680886_5a75_9.jpg,Learn the basics to become an Expert of Microsoft Dynamics 365 (CRM) Enterprise Solution and Boost Your Career Growth.,Online CRM Training (3E Consulting Private Limited),Udemy
72,Forensic Healing Free Start Up Energy Healing Course,True,0,0,/course/forensic-healing-free-start-up-energy-healing-course/,Free,https://img-c.udemycdn.com/course/240x135/1728710_9421_7.jpg,https://img-c.udemycdn.com/course/125_H/1728710_9421_7.jpg,Learn how Forensic Healing can advance your self healing journey or healing career with this Free 4 part video course.,Marisa Russo,Udemy
57,Foundations of Front-End Web Development,True,0,0,/course/foundations-of-front-end-development/,Free,https://img-c.udemycdn.com/course/240x135/311538_d31f_3.jpg,https://img-c.udemycdn.com/course/125_H/311538_d31f_3.jpg,Learn the skills to quickly start a career in Front-End Development today!,Davide Molin,Udemy
74,Free Blender Crash Course!,True,0,0,/course/blender-crash-course/,Free,https://img-c.udemycdn.com/course/240x135/2657572_8301.jpg,https://img-c.udemycdn.com/course/125_H/2657572_8301.jpg,Start now to create your 3D Scenes!,Gustavo Rosa,Udemy
34,Git & GitHub Crash Course: Create a Repository From Scratch!,True,0,0,/course/git-and-github-crash-course-creating-a-repository-from-scratch/,Free,https://img-b.udemycdn.com/course/240x135/1731774_b53c_2.jpg,https://img-b.udemycdn.com/course/125_H/1731774_b53c_2.jpg,"Learn how to create a Git repository, clone it, make changes, and submit changes to GitHub in less than 30 minutes.",Kalob Taulien,Udemy
69,Git Started with GitHub,True,0,0,/course/git-started-with-github/,Free,https://img-c.udemycdn.com/course/240x135/500632_e820.jpg,https://img-c.udemycdn.com/course/125_H/500632_e820.jpg,"Learn the basics of Git and GitHub, with clear, step-by-step instructions by a highly rated teacher.",Jason Taylor,Udemy
27,HTML5 and CSS3 Fundamentals,True,0,0,/course/html5-fundamentals-for-beginners/,Free,https://img-b.udemycdn.com/course/240x135/594360_bee2_2.jpg,https://img-b.udemycdn.com/course/125_H/594360_bee2_2.jpg,Build your very own website with HTML5 from scratch using HTML5 and CSS3 - designed for complete beginners,Stone River eLearning,Udemy
31,Herbalism :: Essential Herbal Medicine Favorites,True,0,0,/course/home-remedies/,Free,https://img-b.udemycdn.com/course/240x135/1029442_9422.jpg,https://img-b.udemycdn.com/course/125_H/1029442_9422.jpg,A brief introduction to great herbal medicine remedies that you can easily make at home.,Elizabeth Heck,Udemy
96,How To Build And Make A Wordpress Website From Scratch 2022,True,0,0,/course/how-to-build-and-make-a-wordpress-website-from-scratch-2017/,Free,https://img-c.udemycdn.com/course/240x135/1041426_5b20_4.jpg,https://img-c.udemycdn.com/course/125_H/1041426_5b20_4.jpg,Take your business one step further. Make and build a beautiful and successful website. Learn & master Wordpress easily!,Ido Moskovits,Udemy
97,How to Change Your Thinking & become more Positive,True,0,0,/course/change-your-thinking/,Free,https://img-c.udemycdn.com/course/240x135/173342_6104_2.jpg,https://img-c.udemycdn.com/course/125_H/173342_6104_2.jpg,Quick inspirational video tips to shift your perceptions so that you can  live the life you deserve.,Wolfgang Riebe,Udemy
66,How to Sell on Amazon - Amazon FBA Basics for Beginners,True,0,0,/course/how-to-sell-on-amazon/,Free,https://img-c.udemycdn.com/course/240x135/620184_95e8_6.jpg,https://img-c.udemycdn.com/course/125_H/620184_95e8_6.jpg,"Learn the right way to setup & access your Amazon seller account, which selling strategies exist, how to add products",Damir Šerbečić,Udemy
39,How to Use SMART Goals: Achieve More in Less Time,True,0,0,/course/goal-setting/,Free,https://img-c.udemycdn.com/course/240x135/580342_b14d_2.jpg,https://img-c.udemycdn.com/course/125_H/580342_b14d_2.jpg,"Use a proven goal setting strategy to increase your productivity, leadership and management skills. Achieve more today.",Richard Feenstra,Udemy
